v1, v2, v3, v4, v5
12.61,12.07,12.15,11.69,12.54
12.7,12.12,12.27,11.77,12.7
12.57,12.02,12.11,11.64,12.55
12.61,12.05,12.1,11.7,12.48
12.59,12.05,12.15,11.66,12.49
12.59,12,12.09,11.59,12.49
12.7,12.14,12.22,11.76,12.63
12.7,12.11,12.24,11.8,12.66
12.54,12.01,12.07,11.6,12.45
12.65,12.1,12.21,11.7,12.58
12.64,12.06,12.17,11.71,12.55
12.61,12.08,12.15,11.67,12.55
12.61,12.03,12.13,11.69,12.51
12.61,12.07,12.15,11.7,12.52
12.71,12.16,12.23,11.78,12.66
12.64,12.06,12.14,11.69,12.56
12.6,12.05,12.09,11.73,12.54
12.69,12.15,12.21,11.79,12.64
12.68,12.13,12.22,11.78,12.64
12.6,12.02,12.09,11.66,12.49
