v1, v2, v3, v4, v5
8.62,8.32,8.46,8.11,8.73
8.49,8.21,8.39,8.01,8.62
8.26,8.02,8.16,7.83,8.38
8.77,8.43,8.59,8.24,8.91
8.4,8.12,8.27,7.93,8.55
8.49,8.19,8.34,8,8.68
8.33,8.05,8.19,7.87,8.47
8.77,8.45,8.59,8.26,8.91
8.5,8.21,8.33,7.98,8.64
8.52,8.22,8.35,8.02,8.7
8.44,8.16,8.31,7.97,8.61
8.6,8.3,8.44,8.11,8.75
8.63,8.31,8.48,8.12,8.82
8.34,8.07,8.22,7.9,8.48
8.62,8.3,8.44,8.11,8.76
8.4,8.13,8.26,7.93,8.54
8.45,8.17,8.29,7.96,8.59
8.42,8.14,8.29,7.96,8.58
8.41,8.12,8.27,7.93,8.52
8.48,8.18,8.31,7.97,8.6
