8.926294, 8.978963, 9.036922, 9.093271
8.241112, 8.299739, 8.315515, 8.470475
8.935410, 8.917198, 9.034590, 9.124087
8.517888, 8.497209, 8.582639, 8.715139
8.189051, 8.192884, 8.241112, 8.391273
8.425614, 8.411440, 8.470475, 8.614325
8.256664, 8.243052, 8.291875, 8.447985
8.542836, 8.547009, 8.567931, 8.704302
8.470475, 8.505468, 8.519961, 8.669805
8.544922, 8.551185, 8.563739, 8.728180
8.789553, 8.791761, 8.838384, 8.935410
8.081274, 8.128193, 8.124419, 8.268368
8.856276, 8.901322, 8.901322, 9.009009
8.802817, 8.805031, 8.840616, 8.958280
8.423586, 8.447985, 8.450025, 8.591065
7.748506, 7.819481, 7.845774, 7.983577
8.051530, 8.088745, 8.094357, 8.254717
8.212108, 8.229486, 8.241112, 8.419533
8.452065, 8.507535, 8.517888, 8.641975
8.293839, 8.289910, 8.309592, 8.445946
8.355216, 8.357211, 8.377213, 8.528265
8.239171, 8.243052, 8.250825, 8.391273
8.361203, 8.369201, 8.395299, 8.530344
8.883248, 8.949118, 8.944543, 9.048604
8.162313, 8.210180, 8.189051, 8.371203
